element,sp_num,lambda,intens,Aki(s^-1),S(a.u.),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,line_ref
Zn,1,7.46687,80*,,,,72714.245,74053.531,3d10.4s.6g,3G,4,3d10.4s.8h,"(1/2,9/2)*",5,L18676
Zn,1,7.46687,80*,,,,72714.245,74053.531,3d10.4s.6g,3G,3,3d10.4s.8h,"(1/2,9/2)*",4,L18676
C,1,7.46984,"1100i,bl*",1430000.0,2060.0,B,86498.4194,87837.135,2s2.2p.(2P*<3/2>).5g,2[5/2]*,2,2s2.2p.(2P*<3/2>).6h,2[7/2],3,L9405c188
C,1,7.46984,"1100i,bl*",1500000.0,2800.0,B,86498.4202,87837.136,2s2.2p.(2P*<3/2>).5g,2[5/2]*,3,2s2.2p.(2P*<3/2>).6h,2[7/2],4,L9405c188
H,1,7.50244,620,156090.0,4161.6,AAA,106632.1681,107965.0568,6,,,8,,,L7452
Ne,6,7.6524,,0.0201,1.33,A,0.0,1306.81,2s2.2p,2P*,1/2,2s2.2p,2P*,3/2,L9340
Cu,1,7.68063,6090,,,,57948.568,59250.561,3d10.7p,2P*,3/2,3d10.7d,2D,5/2,L18473
Fe,7,7.8145,,0.04237,6.746,AA,1049.75,2329.48,3p6.3d2,3F,3.000,3p6.3d2,3F,4.000,L7248
Cu,1,7.82976,6480,,,,56671.377,57948.568,3d10.7s,2S,1/2,3d10.7p,2P*,3/2,L18473
Ar,5,7.9016,*,0.0273,2.51,B,763.236,2028.76,3s2.3p2,3P,1,3s2.3p2,3P,2,L11636
Ar,5,7.9016,*,2.79e-07,3.87,C,763.236,2028.76,3s2.3p2,3P,1,3s2.3p2,3P,2,L11636
H,1,8.15484,120,3358.6,404.54,AAA,107965.0568,[109191.3154],8,,,15,,,L7424c32
Na,6,8.6106,,0.0207,2.45,B+,694.62,1855.98,2s2.2p2,3P,1,2s2.2p2,3P,2,L7248
H,1,8.66446,180,5009.8,630.48,AAA,107965.0568,[109119.1917],8,,,14,,,L7424c32
Cu,2,8.68618,:,0.056,4.1,C+,22847.1176,23998.3718,3d9.4s,3D,2,3d9.4s,3D,1,
H,1,8.760064,420,39049.0,2589.2,AAA,107440.4508,108581.9945,7,,,10,,,L7424c32
K,6,8.82987,,0.0259,1.98,B,0.0,1132.52,3s2.3p2,3P,0,3s2.3p2,3P,1,L11636
Mg,1,8.87116,,625000.0,1080.0,B+,55891.8,57019.025,3s.6s,3S,1,3s.6p,3P*,2,L10070
Mg,1,8.881527,,622000.0,646.0,B+,55891.8,57017.724,3s.6s,3S,1,3s.6p,3P*,1,L10570
Mg,1,8.886588,,621000.0,215.0,B+,55891.8,57017.078,3s.6s,3S,1,3s.6p,3P*,0,L10570
Ar,3,8.99138,*,0.031,2.5,B,0.0,1112.17,3s2.3p4,3P,2,3s2.3p4,3P,1,L11636
Ar,3,8.99138,*,3.6e-07,5.7,C,0.0,1112.17,3s2.3p4,3P,2,3s2.3p4,3P,1,L11636
H,1,9.39203,60,7803.7,1078.5,AAA,107965.0568,[109029.7913],8,,,13,,,L7424c32
Fe,7,9.5267,,0.02965,6.652,AA,0.0,1049.75,3p6.3d2,3F,2.000,3p6.3d2,3F,3.000,L7248
Mg,1,10.43914,15,194000.0,982.0,B,58442.843,59400.763,3s.6d,3D,3,3s.7f,3F*,4,L10570
Mg,1,10.439671,9,172000.0,677.0,B,58442.853,59400.763,3s.6d,3D,2,3s.7f,3F*,3,L10570
Mg,1,10.439907,7,163000.0,458.0,B,58442.874,59400.763,3s.6d,3D,1,3s.7f,3F*,2,L10570
H,1,10.503507,190,12870.0,2119.8,AAA,107965.0568,108917.1209,8,,,12,,,L7424c32
