element,sp_num,lambda,intens,Aki(s^-1),S(a.u.),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,line_ref
Ti,1,5.02955,12,,,,25037.405,27025.659,3d3.(2F).4s,3F,4,3d2.(1D).4s.4p.(3P*),x 3F*,4,L10989
Xe,1,5.03285,1,,,,95154.37,97141.557,5p5.(2P*<3/2>).10p,2[1/2],1,5p5.(2P*<3/2>).15d,2[5/2]*,2,L1975
Ti,1,5.03306,9,,,,34078.606,36065.466,3d2.(1G).4s.4p.(3P*),v 3F*,3,3d4,b 3G,3,L10989
Cr,1,5.035569,6,,,,31352.3828,33338.2563,3d5.(4F).4s,a 5F,1,3d4.(5D).4s.4p.(3P*),z 5D*,0,L14866
Xe,1,5.04132,1,,,,97068.986,99052.8,5p5.(2P*<3/2>).16s,2[3/2]*,2,5p5.(2P*<1/2>).7p,2[1/2],1,L1975
Ti,1,5.04853,39,,,,18145.286,20126.062,3d3.(2P).4s,b 3P,2,3d2.(3F).4s.4p.(3P*),z 3D*,3,L10989
Ar,2,5.05705,9,,,,201030.3698,203007.8061,3s2.3p4.(3P).5d,4P,1/2,3s2.3p4.(1D).5p,2P*,3/2,L11520
Th,2,5.0631294,11,,,,12570.49403,14545.55724,6d3,,7/2,5f.6d.(3D*).7s,4D*,5/2,L9974
Xe,1,5.06479,1,,,,94134.53,96109.22,5p5.(2P*<3/2>).9p,2[5/2],3,5p5.(2P*<3/2>).12s,2[3/2]*,2,L1975
Xe,1,5.06747,2*,,,,95334.723,97307.9,5p5.(2P*<3/2>).9d,2[5/2]*,3,5p5.(2P*<3/2>).18p,2[5/2],2,L1975
Xe,1,5.06747,2*,,,,94339.433,96312.89,5p5.(2P*<3/2>).8d,2[5/2]*,2,5p5.(2P*<3/2>).12p,2[3/2],2,L1975
Xe,1,5.06747,2*,,,,91447.474,93420.823,5p5.(2P*<1/2>).5d,2[3/2]*,2,5p5.(2P*<3/2>).5f,2[7/2],3,L1975
Xe,1,5.06747,2*,,,,94758.116,96731.584,5p5.(2P*<3/2>).6f,2[5/2],3,5p5.(2P*<3/2>).14s,2[3/2]*,2,L1975
Ti,1,5.07135,9,,,,37555.058,39526.912,3d3.(2G).4p,v 3G*,3,3d3.(4F).5s,f 3F,2,L10989
Xe,1,5.07567,1,,,,94759.927,96730.1,5p5.(2P*<3/2>).10s,2[3/2]*,2,5p5.(2P*<3/2>).10f,2[5/2],2,L1975
Th,1,5.0758177,3,,,,21143.42198,23113.54761,6d3.(2H).7s,1H,5,5f.6d2.7s,5G*,4,L9974
Xe,1,5.07793,1,,,,94759.927,96729.49,5p5.(2P*<3/2>).10s,2[3/2]*,2,5p5.(2P*<3/2>).10f,2[5/2],3,L1975
Ne,1,5.08156,10,,,,167559.0633,169526.8869,2s2.2p5.(2P*<3/2>).5p,2[5/2],3,2s2.2p5.(2P*<3/2>).5d,2[5/2]*,3,L1975
Xe,1,5.08838,1,,,,94759.927,96725.3,5p5.(2P*<3/2>).10s,2[3/2]*,2,5p5.(2P*<3/2>).10f,2[3/2],2,L1975
Al,1,5.097474,1250,1600000.0,420.0,A,40271.978,42233.742,3s2.5p,2P*,1/2,3s2.4d,2D,3/2,L6693
Xe,1,5.09842,2,,,,92264.95,94226.320,5p5.(2P*<3/2>).8p,2[5/2],3,5p5.(2P*<3/2>).8d,2[7/2]*,4,L1975
Al,1,5.102218,1600,,,,40277.883,42237.783,3s2.5p,2P*,3/2,3s2.4d,2D,5/2,L10321c14
Al,1,5.102278,4250hfs,1930000.0,759.0,A,40277.883,42237.783,3s2.5p,2P*,3/2,3s2.4d,2D,5/2,L10321c150
Al,1,5.102288,1400,,,,40277.883,42237.783,3s2.5p,2P*,3/2,3s2.4d,2D,5/2,L10321c14
Al,1,5.102345,1250,,,,40277.883,42237.783,3s2.5p,2P*,3/2,3s2.4d,2D,5/2,L10321c14
Xe,1,5.10398,1*,,,,94339.433,96298.95,5p5.(2P*<3/2>).8d,2[5/2]*,2,5p5.(2P*<3/2>).12p,2[5/2],3,L1975
Xe,1,5.10398,1*,,,,94734.882,96694.39,5p5.(2P*<3/2>).6f,2[3/2],1,5p5.(2P*<3/2>).12d,2[3/2]*,1,L1975
Ar,2,5.107727,10,,,,202155.9425,204113.7598,3s2.3p4.(3P).5d,2F,5/2,3s2.3p4.(1D).5p,2D*,3/2,L11520
Ti,1,5.1097,9,,,,42965.9148,44922.979,3d4,3F1,3,3d3.(4F).5p,3F*,3,L10989
Al,1,5.112864,250,319000.0,84.2,A,40277.883,42233.742,3s2.5p,2P*,3/2,3s2.4d,2D,3/2,L6693
Xe,1,5.11403,1,,,,95181.66,97137.316,5p5.(2P*<3/2>).10p,2[5/2],2,5p5.(2P*<3/2>).15d,2[7/2]*,3,L1975
Ne,1,5.11659,30,,,,165912.7861,167867.1941,2s2.2p5.(2P*<3/2>).5s,2[3/2]*,1,2s2.2p5.(2P*<3/2>).5p,2[1/2],0,L1975
Xe,1,5.11766,3,,,,91447.474,93401.466,5p5.(2P*<1/2>).5d,2[3/2]*,2,5p5.(2P*<3/2>).5f,2[5/2],3,L1975
Ti,1,5.11914,29,,,,17369.529,19322.984,3d3.(2D2).4s,a 3D,1,3d2.(3F).4s.4p.(3P*),z 3F*,2,L10989
H,1,5.12865,(450),36881.0,490.9,AAA,106632.1681,108581.9945,6,,,10,,,L7452
Ar,2,5.1306795,29,,,,201781.8583,203730.9181,3s2.3p4.(3P).5d,4P,5/2,3s2.3p4.(3P).6p,2P*,3/2,L11520
Xe,1,5.13084,40,,,,88911.692,90860.655,5p5.(2P*<3/2>).6d,2[7/2]*,4,5p5.(2P*<3/2>).4f,2[9/2],5,L1975
Ne,2,5.133549,10,,,,313652.1424,315600.112,2s2.2p4.(3P).6s,4P,3/2,2s2.2p4.(3P).6p,4P*,1/2,L11301
Ti,1,5.1423,19,,,,18061.387,20006.039,3d3.(2P).4s,b 3P,1,3d2.(3F).4s.4p.(3P*),z 3D*,2,L10989
Ne,1,5.14766,20,,,,167559.0633,169501.6353,2s2.2p5.(2P*<3/2>).5p,2[5/2],3,2s2.2p5.(2P*<3/2>).5d,2[7/2]*,4,L1975
Ti,1,5.14838,12,,,,17995.487,19937.855,3d3.(2P).4s,b 3P,0,3d2.(3F).4s.4p.(3P*),z 3D*,1,L10989
Xe,1,5.15212,1,,,,95196.53,97137.316,5p5.(2P*<3/2>).10p,2[5/2],3,5p5.(2P*<3/2>).15d,2[7/2]*,3,L1975
Ti,1,5.15244,9,,,,42214.7689,44155.596,3d2.4s.(4F).4d,3H,4,3d2.4s.(4F).5p,3G*,3,L10989
Al,2,5.155019,117,,,,121483.5,123423.36,3s.4d,3D,3,3s.4f,3F*,4,L6693c14
Al,2,5.155139,43,,,,121483.5,123423.36,3s.4d,3D,3,3s.4f,3F*,4,L6693c14
Al,2,5.155167,374hfs,373000.0,227.0,A,121483.5,123423.36,3s.4d,3D,3,3s.4f,3F*,4,L6693c150
Al,2,5.155205,162,,,,121483.5,123423.36,3s.4d,3D,3,3s.4f,3F*,4,L6693c14
Al,2,5.155311,29,,,,121483.5,123423.36,3s.4d,3D,3,3s.4f,3F*,4,L6693c14
Al,2,5.155527,23,,,,121483.5,123423.36,3s.4d,3D,3,3s.4f,3F*,4,L6693c14
Al,2,5.162204,17,,,,121483.5,123420.45,3s.4d,3D,3,3s.4f,3F*,3,L6693c14
Al,2,5.162287,21,,,,121483.5,123420.45,3s.4d,3D,3,3s.4f,3F*,3,L6693c14
Al,2,5.162447,25,,,,121483.5,123420.45,3s.4d,3D,3,3s.4f,3F*,3,L6693c14
Al,2,5.162571,107hfs,41300.0,19.6,B+,121483.5,123420.45,3s.4d,3D,3,3s.4f,3F*,3,L6693c150
Al,2,5.162727,27,,,,121483.5,123420.45,3s.4d,3D,3,3s.4f,3F*,3,L6693c14
Al,2,5.163222,17,,,,121483.5,123420.45,3s.4d,3D,3,3s.4f,3F*,3,L6693c14
Al,2,5.163668,76,,,,121483.92,123420.45,3s.4d,3D,2,3s.4f,3F*,3,L6693c14
Al,2,5.163713,76,,,,121483.92,123420.45,3s.4d,3D,2,3s.4f,3F*,3,L6693c14
Al,2,5.163899,258hfs,329000.0,156.0,A,121483.92,123420.45,3s.4d,3D,2,3s.4f,3F*,3,L6693c150
Al,2,5.164038,81,,,,121483.92,123420.45,3s.4d,3D,2,3s.4f,3F*,3,L6693c14
Al,2,5.164716,25,,,,121483.92,123420.45,3s.4d,3D,2,3s.4f,3F*,3,L6693c14
Ti,1,5.16522,9,,,,43467.537,45403.556,3d2.4s.(4F).5p,r 3F*,2,3d2.4s.(2F).4d,3G,3,L10989
Xe,1,5.16655,1,,,,94110.15,96045.77,5p5.(2P*<3/2>).9p,2[5/2],2,5p5.(2P*<3/2>).10d,2[3/2]*,1,L1975
Cu,1,5.167123,65800,,,,52848.751,54784.065,3d10.6s,2S,1/2,3d10.6p,2P*,3/2,L18039
Ne,1,5.1678,20,,,,167591.2335,169526.2708,2s2.2p5.(2P*<3/2>).5p,2[5/2],2,2s2.2p5.(2P*<3/2>).5d,2[5/2]*,2,L1975
Al,2,5.169049,28,,,,121483.92,123418.48,3s.4d,3D,2,3s.4f,3F*,2,L6693c14
Al,2,5.169271,73hfs,57700.0,19.7,B+,121483.92,123418.48,3s.4d,3D,2,3s.4f,3F*,2,L6693c150
Al,2,5.169409,45,,,,121483.92,123418.48,3s.4d,3D,2,3s.4f,3F*,2,L6693c14
Al,2,5.170035,28,,,,121484.252,123418.48,3s.4d,3D,1,3s.4f,3F*,2,L6693c14
Al,2,5.170158,66,,,,121484.252,123418.48,3s.4d,3D,1,3s.4f,3F*,2,L6693c14
Al,2,5.170254,170hfs,310000.0,106.0,A,121484.252,123418.48,3s.4d,3D,1,3s.4f,3F*,2,L6693c150
Al,2,5.170337,22,,,,121484.252,123418.48,3s.4d,3D,1,3s.4f,3F*,2,L6693c14
Al,2,5.170452,54,,,,121484.252,123418.48,3s.4d,3D,1,3s.4f,3F*,2,L6693c14
Ne,1,5.1709,20,,,,168355.4583,170289.3243,2s2.2p5.(2P*<1/2>).5p,2[3/2],1,2s2.2p5.(2P*<1/2>).5d,2[5/2]*,2,L1975
Ne,1,5.17194,20,,,,168355.4583,170288.9415,2s2.2p5.(2P*<1/2>).5p,2[3/2],1,2s2.2p5.(2P*<1/2>).5d,2[3/2]*,2,L1975
Ti,1,5.17201,9,,,,37852.437,39785.923,3d3.(2D2).4p,u 3F*,4,3d3.(4F).5s,f 3F,4,L10989
Xe,1,5.17213,1,,,,93401.466,95334.723,5p5.(2P*<3/2>).5f,2[5/2],3,5p5.(2P*<3/2>).9d,2[5/2]*,3,L1975
Ne,1,5.17937,20,,,,168358.6202,170289.3243,2s2.2p5.(2P*<1/2>).5p,2[1/2],1,2s2.2p5.(2P*<1/2>).5d,2[5/2]*,2,L1975
Ne,1,5.18041,40*,,,,168358.6202,170288.9415,2s2.2p5.(2P*<1/2>).5p,2[1/2],1,2s2.2p5.(2P*<1/2>).5d,2[3/2]*,2,L1975
Ne,1,5.18041,40*,,,,166656.5114,168586.8304,2s2.2p5.(2P*<1/2>).5s,2[1/2]*,1,2s2.2p5.(2P*<1/2>).5p,2[1/2],0,L1975
Ti,1,5.18862,9,,,,34204.985,36132.283,3d2.(1G).4s.4p.(3P*),v 3F*,4,3d4,b 3G,4,L10989
Mg,2,5.193149,500,1540000.0,213.0,A,110203.58,112129.20,2p6.7p,2P*,1/2,2p6.8s,2S,1/2,L6692
Xe,1,5.20352,1,,,,94369.995,96292.0,5p5.(2P*<3/2>).8d,2[5/2]*,3,5p5.(2P*<3/2>).12p,2[5/2],2,L1975
Mg,2,5.205037,1000,3080000.0,429.0,A,110207.99,112129.20,2p6.7p,2P*,3/2,2p6.8s,2S,1/2,L6692
Xe,1,5.2105,6*,,,,89024.89,90944.133,5p5.(2P*<3/2>).6d,2[7/2]*,3,5p5.(2P*<3/2>).4f,2[7/2],4,L1975
Xe,1,5.2105,6*,,,,89024.89,90944.050,5p5.(2P*<3/2>).6d,2[7/2]*,3,5p5.(2P*<3/2>).4f,2[7/2],3,L1975
Xe,1,5.21154,1*,,,,94190.24,96109.22,5p5.(2P*<3/2>).9p,2[3/2],2,5p5.(2P*<3/2>).12s,2[3/2]*,2,L1975
Xe,1,5.21154,1*,,,,91447.474,93366.245,5p5.(2P*<1/2>).5d,2[3/2]*,2,5p5.(2P*<3/2>).5f,2[3/2],2,L1975
Th,1,5.2120184,5,,,,17354.638583,19273.28060,5f.6d.7s2,3D*,1,6d3.(2P).7s,,2,L9974
Ti,1,5.22066,9,,,,43583.355,45498.815,3d2.4s.(4F).5p,r 3F*,3,3d2.4s.(2F).4d,3G,4,L10989
Xe,1,5.22259,1,,,,92370.923,94285.651,5p5.(2P*<3/2>).8p,2[3/2],2,5p5.(2P*<3/2>).8d,2[3/2]*,2,L1975
Th,2,5.2234195,7*,,,,6691.3873,8605.84210,5f.6d.(3F*).7s,4F*,3/2,6d2.(3F).7s,2F,5/2,L9974
Th,1,5.2234195,7*,,,,37605.7352,39520.1900,,*,4,,,4,L9974
Xe,1,5.2315,1,,,,93362.671,95274.415,5p5.(2P*<3/2>).5f,2[3/2],1,5p5.(2P*<3/2>).9d,2[3/2]*,2,L1975
Ne,1,5.23276,60*,,,,167591.2335,169502.2893,2s2.2p5.(2P*<3/2>).5p,2[5/2],2,2s2.2p5.(2P*<3/2>).5d,2[7/2]*,3,L1975
Ne,1,5.23276,60*,,,,168378.7113,170289.6782,2s2.2p5.(2P*<1/2>).5p,2[3/2],2,2s2.2p5.(2P*<1/2>).5d,2[5/2]*,3,L1975
C,1,5.25688,19000bl,138000.0,49.0,C+,83497.5869,85399.833,2s2.2p.4d,1D*,2,2s2.2p.5p,1D,2,L9405c188
Th,1,5.26024,1,,,,25442.68552,27343.74101,,*,3,5f.6d.7s.7p,5H,3,L9974
Ti,1,5.26557,13,,,,17423.856,19322.984,3d3.(2D2).4s,a 3D,2,3d2.(3F).4s.4p.(3P*),z 3F*,2,L10989
Th,2,5.2704958,7,,,,10673.13832,12570.49403,5f.6d.(3F*).7s,*,5/2,6d3,,7/2,L9974
Ti,1,5.27131,9,,,,37743.962,39641.021,3d3.(2D2).4p,u 3F*,3,3d3.(4F).5s,f 3F,3,L10989
Th,2,5.2791953,9,,,,13250.50912,15144.73767,6d2.(1D).7s,,5/2,5f.6d.(3P*).7s,*,3/2,L9974
Ar,2,5.2826774,43,,,,201608.9017,203501.8810,3s2.3p4.(3P).5d,2F,7/2,3s2.3p4.(3P).6p,2D*,5/2,L11520
Ti,1,5.28909,9,,,,37824.758,39715.439,3d2.4s.(4F).5s,e 3F,4,3d3.(2D2).4p,s 3D*,3,L10989
Th,1,5.2932528,13,,,,13847.77037,15736.968041,6d3.(4F).7s,3F,2,6d2.7s.7p,5F*,1,L9974
Ti,1,5.29378,9,,,,42368.0934,44257.098,3d2.4s.(4F).4d,3H,5,3d2.4s.(4F).5p,3G*,4,L10989
Kr,1,5.2965,,,,,105988.81,107876.9080,4s2.4p5.(2P*<3/2>).4f,2[9/2],4,4s2.4p5.(2P*<3/2>).6d,2[7/2]*,3,L4227
Cu,1,5.29856,13000,,,,54784.065,56671.377,3d10.6p,2P*,3/2,3d10.7s,2S,1/2,L18039
Xe,1,5.29992,1,,,,94744.718,96631.610,5p5.(2P*<3/2>).6f,2[9/2],4,5p5.(2P*<3/2>).12d,2[7/2]*,3,L1975
Ne,1,5.30021,10,,,,167639.5697,169526.2708,2s2.2p5.(2P*<3/2>).5p,2[3/2],1,2s2.2p5.(2P*<3/2>).5d,2[5/2]*,2,L1975
Kr,1,5.302,*,,,,108516.98,110403.6385,4s2.4p5.(2P*<3/2>).5f,2[7/2],4,4s2.4p5.(2P*<3/2>).8d,2[7/2]*,4,L4227
Kr,1,5.302,*,,,,109160.957,111047.07,4s2.4p5.(2P*<3/2>).8p,2[3/2],2,4s2.4p5.(2P*<3/2>).9d,2[3/2]*,2,L4227
Kr,1,5.302,*,,,,103121.1419,105007.245,4s2.4p5.(2P*<3/2>).6p,2[5/2],2,4s2.4p5.(2P*<3/2>).5d,2[3/2]*,2,L4227
Ti,1,5.30393,9,,,,43744.793,45630.180,3d2.4s.(4F).5p,r 3F*,4,3d2.4s.(2F).4d,3G,5,L10989
Xe,1,5.31292,1,,,,89024.89,90907.090,5p5.(2P*<3/2>).6d,2[7/2]*,3,5p5.(2P*<3/2>).4f,2[5/2],3,L1975
Ti,1,5.31522,13,,,,17540.188,19421.580,3d3.(2D2).4s,a 3D,3,3d2.(3F).4s.4p.(3P*),z 3F*,3,L10989
Ne,1,5.32402,20*,,,,169797.189,171675.459,2s2.2p5.(2P*<3/2>).6p,2[5/2],3,2s2.2p5.(2P*<3/2>).7d,2[7/2]*,4,L1975
Ne,1,5.32402,20*,,,,167648.6382,169526.8869,2s2.2p5.(2P*<3/2>).5p,2[3/2],2,2s2.2p5.(2P*<3/2>).5d,2[5/2]*,3,L1975
Ne,1,5.32724,10,174000.0,13.0,B,161524.1739,163401.3061,2s2.2p5.(2P*<3/2>).3d,2[1/2]*,1,2s2.2p5.(2P*<3/2>).4p,2[1/2],0,L1975
Th,1,5.3277013,15,,,,15970.09583,17847.07751,6d3.(2D2).7s,,3,5f.6d.7s2,3P*,2,L9974
Ti,1,5.32918,10,,,,18061.387,19937.855,3d3.(2P).4s,b 3P,1,3d2.(3F).4s.4p.(3P*),z 3D*,1,L10989
Ar,2,5.332841,5,,,,186891.0393,188766.2129,3s2.3p4.(3P).4d,4P,5/2,3s2.3p4.(3P).5p,4P*,5/2,L11520
Al,1,5.340634,500,924000.0,139.0,A,40271.978,42144.411,3s2.5p,2P*,1/2,3s2.6s,2S,1/2,L6693
Ti,1,5.34261,66,,,,20209.447,22081.189,3d3.(2D2).4s,b 1D,2,3d2.(3F).4s.4p.(3P*),z 1D*,2,L10989
Al,1,5.357535,1000,1830000.0,277.0,A,40277.883,42144.411,3s2.5p,2P*,3/2,3s2.6s,2S,1/2,L6693
Ti,1,5.37417,9,,,,18145.286,20006.039,3d3.(2P).4s,b 3P,2,3d2.(3F).4s.4p.(3P*),z 3D*,2,L10989
Ne,1,5.37657,10,,,,167648.6382,169508.5627,2s2.2p5.(2P*<3/2>).5p,2[3/2],2,2s2.2p5.(2P*<3/2>).5d,2[3/2]*,2,L1975
Ne,1,5.40478,20,450000.0,35.1,B+,162435.678,164285.8872,2s2.2p5.(2P*<1/2>).3d,2[3/2]*,1,2s2.2p5.(2P*<1/2>).4p,2[1/2],0,L1975
Th,1,5.4108066,7,,,,12114.36618,13962.51989,5f.6d.7s2,1D*,2,6d3.(2D2).7s,,1,L9974
Th,1,5.4146824,7,,,,11241.73043,13088.56115,5f.6d.7s2,3F*,3,6d3.(2G).7s,3G,3,L9974
Ti,1,5.41944,7,,,,42530.2894,44375.500,3d2.4s.(4F).4d,3H,6,3d2.4s.(4F).5p,3G*,5,L10989
Cr,1,5.428623,1,,,,44125.7144,45967.8057,3d5.(6S).5p,w 5P*,1,3d5.(6S).6s,f 5S,2,L14866
Xe,1,5.44472,4,,,,89024.89,90861.506,5p5.(2P*<3/2>).6d,2[7/2]*,3,5p5.(2P*<3/2>).4f,2[9/2],4,L1975
C,1,5.459735,6200,540000.0,131.0,C+,78731.2956,80562.88550,2s2.2p.3d,1P*,1,2s2.2p.4p,1P,1,L12175c183
Ti,1,5.48215,3,,,,25068.842,26892.936,3d3.(2F).4s,3F,3,3d2.(1D).4s.4p.(3P*),x 3F*,3,L10989
Ne,1,5.4931,20,,,,165828.1766,167648.6382,2s2.2p5.(2P*<3/2>).5s,2[3/2]*,2,2s2.2p5.(2P*<3/2>).5p,2[3/2],2,L1975
