# RRKM rate for corannulene isomer 
En(eV)     K(E) s-1
1.834953  4.255436e-08
1.847352  1.409341e-07
1.859750  2.919088e-07
1.872148  6.049918e-07
1.884547  1.184403e-06
1.896945  2.149549e-06
1.909343  3.722935e-06
1.921742  6.222629e-06
1.934140  1.009105e-05
1.946538  1.594960e-05
1.958937  2.461719e-05
1.971335  3.721800e-05
1.983733  5.529228e-05
1.996132  8.084622e-05
2.008530  1.164636e-04
2.020928  1.655461e-04
2.033327  2.324903e-04
2.045725  3.228725e-04
2.058123  4.437461e-04
2.070522  6.040042e-04
2.082920  8.148107e-04
2.095318  1.090014e-03
2.107717  1.446709e-03
2.120115  1.905955e-03
2.132513  2.493524e-03
2.144912  3.240798e-03
2.157310  4.185816e-03
2.169708  5.374427e-03
2.182107  6.861818e-03
2.194505  8.714113e-03
2.206903  1.100994e-02
2.219302  1.384298e-02
2.231700  1.732403e-02
2.244098  2.158387e-02
2.256497  2.677651e-02
2.268895  3.308221e-02
2.281293  4.071196e-02
2.293692  4.991184e-02
2.306090  6.096768e-02
2.318488  7.421151e-02
2.330887  9.002651e-02
2.343285  1.088546e-01
2.355683  1.312065e-01
2.368082  1.576655e-01
2.380480  1.889031e-01
2.392878  2.256815e-01
2.405277  2.688776e-01
2.417675  3.194845e-01
2.430073  3.786295e-01
2.442472  4.475971e-01
2.454870  5.278313e-01
2.467268  6.209697e-01
2.479667  7.288634e-01
2.492065  8.535816e-01
2.504463  9.974605e-01
2.516862  1.163120e+00
2.529260  1.353493e+00
2.541658  1.571849e+00
2.554057  1.821855e+00
2.566455  2.107587e+00
2.578853  2.433617e+00
2.591252  2.804964e+00
2.603650  3.227231e+00
2.616048  3.706654e+00
2.628447  4.250093e+00
2.640845  4.865182e+00
2.653243  5.560273e+00
2.665642  6.344733e+00
2.678040  7.228634e+00
2.690438  8.223336e+00
2.702837  9.341074e+00
2.715235  1.059547e+01
2.727633  1.200137e+01
2.740032  1.357506e+01
2.752430  1.533426e+01
2.764828  1.729859e+01
2.777227  1.948909e+01
2.789625  2.192906e+01
2.802023  2.464380e+01
2.814422  2.766087e+01
2.826820  3.101003e+01
2.839218  3.472386e+01
2.851617  3.883765e+01
2.864015  4.338950e+01
2.876413  4.842123e+01
2.888812  5.397749e+01
2.901210  6.010722e+01
2.913608  6.686266e+01
2.926007  7.430094e+01
2.938405  8.248262e+01
2.950803  9.147415e+01
2.963202  1.013464e+02
2.975600  1.121764e+02
2.987998  1.240468e+02
3.000397  1.370457e+02
3.012795  1.512692e+02
3.025193  1.668179e+02
3.037592  1.838033e+02
3.049990  2.023419e+02
3.062388  2.225602e+02
3.074787  2.445931e+02
3.087185  2.685836e+02
3.099583  2.946896e+02
3.111982  3.230709e+02
3.124380  3.539089e+02
3.136778  3.873896e+02
3.149177  4.237122e+02
3.161575  4.630913e+02
3.173973  5.057561e+02
3.186372  5.519474e+02
3.198770  6.019223e+02
3.211168  6.559596e+02
3.223567  7.143466e+02
3.235965  7.773978e+02
3.248363  8.454339e+02
3.260762  9.188151e+02
3.273160  9.979035e+02
3.285558  1.083103e+03
3.297957  1.174805e+03
3.310355  1.273489e+03
3.322753  1.379583e+03
3.335152  1.493608e+03
3.347550  1.616077e+03
3.359948  1.747539e+03
3.372347  1.888573e+03
3.384745  2.039811e+03
3.397143  2.201887e+03
3.409542  2.375493e+03
3.421940  2.561359e+03
3.434338  2.760239e+03
3.446737  2.972945e+03
3.459135  3.200311e+03
3.471533  3.443242e+03
3.483932  3.702661e+03
3.496330  3.979575e+03
3.508728  4.275001e+03
3.521127  4.590039e+03
3.533525  4.925858e+03
3.545923  5.283607e+03
3.558322  5.664613e+03
3.570720  6.070144e+03
3.583118  6.501633e+03
3.595517  6.960533e+03
3.607915  7.448351e+03
3.620313  7.966739e+03
3.632712  8.517311e+03
3.645110  9.101834e+03
3.657508  9.722259e+03
3.669907  1.038037e+04
3.682305  1.107826e+04
3.694703  1.181804e+04
3.707102  1.260185e+04
3.719500  1.343203e+04
3.731898  1.431105e+04
3.744297  1.524138e+04
3.756695  1.622565e+04
3.769093  1.726649e+04
3.781492  1.836688e+04
3.793890  1.952991e+04
3.806288  2.075835e+04
3.818687  2.205581e+04
3.831085  2.342550e+04
3.843483  2.487088e+04
3.855882  2.639580e+04
3.868280  2.800386e+04
3.880678  2.969916e+04
3.893077  3.148583e+04
3.905475  3.336817e+04
3.917873  3.535069e+04
3.930272  3.743796e+04
3.942670  3.963489e+04
3.955068  4.194632e+04
3.967467  4.437801e+04
3.979865  4.693470e+04
3.992263  4.962261e+04
4.004662  5.244698e+04
4.017060  5.541452e+04
4.029458  5.853121e+04
4.041857  6.180370e+04
4.054255  6.523841e+04
4.066653  6.884305e+04
4.079052  7.262426e+04
4.091450  7.659002e+04
4.103848  8.074760e+04
4.116247  8.510607e+04
4.128645  8.967316e+04
4.141043  9.445769e+04
4.153442  9.946867e+04
4.165840  1.047153e+05
4.178238  1.102077e+05
4.190637  1.159555e+05
4.203035  1.219687e+05
4.215433  1.282580e+05
4.227832  1.348357e+05
4.240230  1.417116e+05
4.252628  1.488983e+05
4.265027  1.564079e+05
4.277425  1.642525e+05
4.289823  1.724461e+05
4.302222  1.810016e+05
4.314620  1.899318e+05
4.327018  1.992532e+05
4.339417  2.089789e+05
4.351815  2.191244e+05
4.364213  2.297057e+05
4.376612  2.407390e+05
4.389010  2.522408e+05
4.401408  2.642288e+05
4.413807  2.767195e+05
4.426205  2.897333e+05
4.438603  3.032875e+05
4.451002  3.174027e+05
4.463400  3.320960e+05
4.475798  3.473922e+05
4.488197  3.633111e+05
4.500595  3.798723e+05
4.512993  3.971005e+05
4.525392  4.150168e+05
4.537790  4.336481e+05
4.550188  4.530164e+05
4.562587  4.731489e+05
4.574985  4.940711e+05
4.587383  5.158077e+05
4.599782  5.383905e+05
4.612180  5.618403e+05
4.624578  5.861906e+05
4.636977  6.114722e+05
4.649375  6.377156e+05
4.661773  6.649511e+05
4.674172  6.932087e+05
4.686570  7.225311e+05
4.698968  7.529394e+05
4.711367  7.844730e+05
4.723765  8.171727e+05
4.736163  8.510719e+05
4.748562  8.862071e+05
4.760960  9.226159e+05
4.773358  9.603419e+05
4.785757  9.994305e+05
4.798155  1.039904e+06
4.810553  1.081834e+06
4.822952  1.125243e+06
4.835350  1.170182e+06
4.847748  1.216698e+06
4.860147  1.264837e+06
4.872545  1.314654e+06
4.884943  1.366190e+06
4.897342  1.419505e+06
4.909740  1.474639e+06
4.922138  1.531663e+06
4.934537  1.590614e+06
4.946935  1.651550e+06
4.959333  1.714546e+06
4.971732  1.779637e+06
4.984130  1.846906e+06
4.996528  1.916409e+06
5.008927  1.988195e+06
5.021325  2.062338e+06
5.033723  2.138905e+06
5.046122  2.217960e+06
5.058520  2.299577e+06
5.070918  2.383827e+06
5.083317  2.470779e+06
5.095715  2.560513e+06
5.108113  2.653091e+06
5.120512  2.748606e+06
5.132910  2.847122e+06
5.145308  2.948737e+06
5.157707  3.053515e+06
5.170105  3.161555e+06
5.182503  3.272925e+06
5.194902  3.387777e+06
5.207300  3.506078e+06
5.219698  3.628016e+06
5.232097  3.753697e+06
5.244495  3.883127e+06
5.256893  4.016500e+06
5.269292  4.153846e+06
5.281690  4.295311e+06
5.294088  4.440967e+06
5.306487  4.590959e+06
5.318885  4.745339e+06
5.331283  4.904270e+06
5.343682  5.067847e+06
5.356080  5.236180e+06
5.368478  5.409382e+06
5.380877  5.587591e+06
5.393275  5.770923e+06
5.405673  5.959465e+06
5.418072  6.153388e+06
5.430470  6.352859e+06
5.442868  6.557918e+06
5.455267  6.768754e+06
5.467665  6.985479e+06
5.480063  7.208291e+06
5.492462  7.437232e+06
5.504860  7.672542e+06
5.517258  7.914290e+06
5.529657  8.162671e+06
5.542055  8.417884e+06
5.554453  8.680022e+06
5.566852  8.949237e+06
5.579250  9.225703e+06
5.591648  9.509621e+06
5.604047  9.801112e+06
5.616445  1.010038e+07
5.628843  1.040765e+07
5.641242  1.072294e+07
5.653640  1.104659e+07
5.666038  1.137870e+07
5.678437  1.171948e+07
5.690835  1.206911e+07
5.703233  1.242781e+07
5.715632  1.279580e+07
5.728030  1.317320e+07
5.740428  1.356025e+07
5.752827  1.395723e+07
5.765225  1.436412e+07
5.777623  1.478149e+07
5.790022  1.520932e+07
5.802420  1.564784e+07
5.814818  1.609731e+07
5.827217  1.655799e+07
5.839615  1.703009e+07
5.852013  1.751390e+07
5.864412  1.800947e+07
5.876810  1.851735e+07
5.889208  1.903749e+07
5.901607  1.957030e+07
5.914005  2.011614e+07
5.926403  2.067507e+07
5.938802  2.124739e+07
5.951200  2.183345e+07
5.963598  2.243353e+07
5.975997  2.304781e+07
5.988395  2.367665e+07
6.000793  2.432034e+07
6.013192  2.497912e+07
6.025590  2.565333e+07
6.037988  2.634328e+07
6.050387  2.704933e+07
6.062785  2.777133e+07
6.075183  2.851046e+07
6.087582  2.926645e+07
6.099980  3.003962e+07
6.112378  3.083054e+07
6.124777  3.163926e+07
6.137175  3.246629e+07
6.149573  3.331208e+07
6.161972  3.417680e+07
6.174370  3.506090e+07
6.186768  3.596476e+07
6.199167  3.688870e+07
6.211565  3.783312e+07
6.223963  3.879828e+07
6.236362  3.978471e+07
6.248760  4.079273e+07
6.261159  4.182270e+07
6.273557  4.287509e+07
6.285955  4.395022e+07
6.298354  4.504857e+07
6.310752  4.617065e+07
6.323150  4.731650e+07
6.335549  4.848698e+07
6.347947  4.968283e+07
6.360345  5.090348e+07
6.372744  5.214961e+07
6.385142  5.342262e+07
6.397540  5.472225e+07
6.409939  5.604859e+07
6.422337  5.740286e+07
6.434735  5.878527e+07
6.447134  6.019622e+07
6.459532  6.163610e+07
6.471930  6.310581e+07
6.484329  6.460552e+07
6.496727  6.613575e+07
6.509125  6.769709e+07
6.521524  6.929022e+07
6.533922  7.091531e+07
6.546320  7.257275e+07
6.558719  7.426380e+07
6.571117  7.598916e+07
6.583515  7.774800e+07
6.595914  7.954198e+07
6.608312  8.137160e+07
6.620710  8.323700e+07
6.633109  8.513937e+07
6.645507  8.707866e+07
6.657905  8.905606e+07
6.670304  9.107186e+07
6.682702  9.312652e+07
6.695100  9.522092e+07
6.707499  9.735527e+07
6.719897  9.953088e+07
6.732295  1.017480e+08
6.744694  1.040078e+08
6.757092  1.063098e+08
6.769490  1.086557e+08
6.781889  1.110458e+08
6.794287  1.134809e+08
6.806685  1.159614e+08
6.819084  1.184889e+08
6.831482  1.210628e+08
6.843880  1.236847e+08
6.856279  1.263546e+08
6.868677  1.290739e+08
6.881075  1.318433e+08
6.893474  1.346633e+08
6.905872  1.375351e+08
6.918270  1.404588e+08
6.930669  1.434351e+08
6.943067  1.464658e+08
6.955465  1.495508e+08
6.967864  1.526915e+08
6.980262  1.558880e+08
6.992660  1.591417e+08
7.005059  1.624528e+08
7.017457  1.658242e+08
7.029855  1.692536e+08
7.042254  1.727441e+08
7.054652  1.762949e+08
7.067050  1.799082e+08
7.079449  1.835846e+08
7.091847  1.873269e+08
7.104245  1.911316e+08
7.116644  1.950019e+08
7.129042  1.989404e+08
7.141440  2.029458e+08
7.153839  2.070196e+08
7.166237  2.111628e+08
7.178635  2.153772e+08
7.191034  2.196623e+08
7.203432  2.240205e+08
7.215830  2.284515e+08
7.228229  2.329569e+08
7.240627  2.375381e+08
7.253025  2.421957e+08
7.265424  2.469303e+08
7.277822  2.517443e+08
7.290220  2.566374e+08
7.302619  2.616114e+08
7.315017  2.666668e+08
7.327415  2.718054e+08
7.339814  2.770261e+08
