# RRKM rate for corannulene isomer 
En(eV)     K(E) s-1
3.496330  8.654154e+10
3.508728  8.771155e+10
3.521127  8.889095e+10
3.533525  9.008037e+10
3.545923  9.127926e+10
3.558322  9.248873e+10
3.570720  9.370727e+10
3.583118  9.493628e+10
3.595517  9.617521e+10
3.607915  9.742361e+10
3.620313  9.868287e+10
3.632712  9.995145e+10
3.645110  1.012300e+11
3.657508  1.025191e+11
3.669907  1.038178e+11
3.682305  1.051267e+11
3.694703  1.064460e+11
3.707102  1.077750e+11
3.719500  1.091140e+11
3.731898  1.104636e+11
3.744297  1.118235e+11
3.756695  1.131937e+11
3.769093  1.145739e+11
3.781492  1.159639e+11
3.793890  1.173647e+11
3.806288  1.187749e+11
3.818687  1.201971e+11
3.831085  1.216279e+11
3.843483  1.230704e+11
3.855882  1.245224e+11
3.868280  1.259847e+11
3.880678  1.274578e+11
3.893077  1.289411e+11
3.905475  1.304348e+11
3.917873  1.319394e+11
3.930272  1.334539e+11
3.942670  1.349789e+11
3.955068  1.365146e+11
3.967467  1.380608e+11
3.979865  1.396172e+11
3.992263  1.411850e+11
4.004662  1.427622e+11
4.017060  1.443510e+11
4.029458  1.459496e+11
4.041857  1.475588e+11
4.054255  1.491787e+11
4.066653  1.508098e+11
4.079052  1.524508e+11
4.091450  1.541021e+11
4.103848  1.557649e+11
4.116247  1.574380e+11
4.128645  1.591222e+11
4.141043  1.608165e+11
4.153442  1.625220e+11
4.165840  1.642378e+11
4.178238  1.659645e+11
4.190637  1.677022e+11
4.203035  1.694505e+11
4.215433  1.712091e+11
4.227832  1.729795e+11
4.240230  1.747598e+11
4.252628  1.765509e+11
4.265027  1.783530e+11
4.277425  1.801655e+11
4.289823  1.819896e+11
4.302222  1.838242e+11
4.314620  1.856700e+11
4.327018  1.875262e+11
4.339417  1.893935e+11
4.351815  1.912712e+11
4.364213  1.931607e+11
4.376612  1.950603e+11
4.389010  1.969709e+11
4.401408  1.988925e+11
4.413807  2.008250e+11
4.426205  2.027692e+11
4.438603  2.047230e+11
4.451002  2.066889e+11
4.463400  2.086656e+11
4.475798  2.106526e+11
4.488197  2.126511e+11
4.500595  2.146598e+11
4.512993  2.166803e+11
4.525392  2.187118e+11
4.537790  2.207539e+11
4.550188  2.228067e+11
4.562587  2.248715e+11
4.574985  2.269466e+11
4.587383  2.290328e+11
4.599782  2.311300e+11
4.612180  2.332386e+11
4.624578  2.353578e+11
4.636977  2.374884e+11
4.649375  2.396298e+11
4.661773  2.417824e+11
4.674172  2.439454e+11
4.686570  2.461211e+11
4.698968  2.483070e+11
4.711367  2.505032e+11
4.723765  2.527122e+11
4.736163  2.549312e+11
4.748562  2.571609e+11
4.760960  2.594012e+11
4.773358  2.616538e+11
4.785757  2.639178e+11
4.798155  2.661925e+11
4.810553  2.684772e+11
4.822952  2.707740e+11
4.835350  2.730825e+11
4.847748  2.754017e+11
4.860147  2.777314e+11
4.872545  2.800729e+11
4.884943  2.824249e+11
4.897342  2.847888e+11
4.909740  2.871634e+11
4.922138  2.895504e+11
4.934537  2.919462e+11
4.946935  2.943541e+11
4.959333  2.967745e+11
4.971732  2.992024e+11
4.984130  3.016438e+11
4.996528  3.040987e+11
5.008927  3.065621e+11
5.021325  3.090369e+11
5.033723  3.115229e+11
5.046122  3.140201e+11
5.058520  3.165281e+11
5.070918  3.190475e+11
5.083317  3.215786e+11
5.095715  3.241199e+11
5.108113  3.266729e+11
5.120512  3.292375e+11
5.132910  3.318125e+11
5.145308  3.343991e+11
5.157707  3.369966e+11
5.170105  3.396053e+11
5.182503  3.422249e+11
5.194902  3.448572e+11
5.207300  3.474992e+11
5.219698  3.501512e+11
5.232097  3.528184e+11
5.244495  3.554922e+11
5.256893  3.581791e+11
5.269292  3.608770e+11
5.281690  3.635856e+11
5.294088  3.663069e+11
5.306487  3.690389e+11
5.318885  3.717807e+11
5.331283  3.745338e+11
5.343682  3.772990e+11
5.356080  3.800753e+11
5.368478  3.828624e+11
5.380877  3.856604e+11
5.393275  3.884700e+11
5.405673  3.912909e+11
5.418072  3.941218e+11
5.430470  3.969663e+11
5.442868  3.998196e+11
5.455267  4.026837e+11
5.467665  4.055588e+11
5.480063  4.084499e+11
5.492462  4.113470e+11
5.504860  4.142557e+11
5.517258  4.171751e+11
5.529657  4.201059e+11
5.542055  4.230498e+11
5.554453  4.260044e+11
5.566852  4.289692e+11
5.579250  4.319438e+11
5.591648  4.349318e+11
5.604047  4.379295e+11
5.616445  4.409395e+11
5.628843  4.439594e+11
5.641242  4.469915e+11
5.653640  4.500333e+11
5.666038  4.530876e+11
5.678437  4.561522e+11
5.690835  4.592275e+11
5.703233  4.623159e+11
5.715632  4.654127e+11
5.728030  4.685214e+11
5.740428  4.716401e+11
5.752827  4.747736e+11
5.765225  4.779105e+11
5.777623  4.810675e+11
5.790022  4.842317e+11
5.802420  4.874070e+11
5.814818  4.905906e+11
5.827217  4.937853e+11
5.839615  4.969941e+11
5.852013  5.002143e+11
5.864412  5.034431e+11
5.876810  5.066848e+11
5.889208  5.099354e+11
5.901607  5.131983e+11
5.914005  5.164723e+11
5.926403  5.197575e+11
5.938802  5.230532e+11
5.951200  5.263595e+11
5.963598  5.296767e+11
5.975997  5.330024e+11
5.988395  5.363430e+11
6.000793  5.396925e+11
6.013192  5.430569e+11
6.025590  5.464255e+11
6.037988  5.498113e+11
6.050387  5.532065e+11
6.062785  5.566057e+11
6.075183  5.600246e+11
6.087582  5.634513e+11
6.099980  5.668856e+11
6.112378  5.703353e+11
6.124777  5.737920e+11
6.137175  5.772619e+11
6.149573  5.807439e+11
6.161972  5.842346e+11
6.174370  5.877364e+11
6.186768  5.912498e+11
6.199167  5.947745e+11
6.211565  5.983091e+11
6.223963  6.018536e+11
6.236362  6.054104e+11
6.248760  6.089776e+11
6.261159  6.125554e+11
6.273557  6.161437e+11
6.285955  6.197400e+11
6.298354  6.233496e+11
6.310752  6.269737e+11
6.323150  6.306053e+11
6.335549  6.342449e+11
6.347947  6.379012e+11
6.360345  6.415630e+11
6.372744  6.452333e+11
6.385142  6.489206e+11
6.397540  6.526172e+11
6.409939  6.563206e+11
6.422337  6.600381e+11
6.434735  6.637655e+11
6.447134  6.675016e+11
6.459532  6.712507e+11
6.471930  6.750097e+11
6.484329  6.787801e+11
6.496727  6.825609e+11
6.509125  6.863516e+11
6.521524  6.901541e+11
6.533922  6.939660e+11
6.546320  6.977877e+11
6.558719  7.016225e+11
6.571117  7.054667e+11
6.583515  7.093174e+11
6.595914  7.131859e+11
6.608312  7.170582e+11
6.620710  7.209457e+11
6.633109  7.248405e+11
6.645507  7.287464e+11
6.657905  7.326647e+11
6.670304  7.365954e+11
6.682702  7.405310e+11
6.695100  7.444806e+11
6.707499  7.484367e+11
6.719897  7.524069e+11
6.732295  7.563857e+11
6.744694  7.603796e+11
6.757092  7.643763e+11
6.769490  7.683877e+11
6.781889  7.724093e+11
6.794287  7.764414e+11
6.806685  7.804830e+11
6.819084  7.845365e+11
6.831482  7.885980e+11
6.843880  7.926725e+11
6.856279  7.967526e+11
6.868677  8.008480e+11
6.881075  8.049512e+11
6.893474  8.090680e+11
6.905872  8.131923e+11
6.918270  8.173277e+11
6.930669  8.214701e+11
6.943067  8.256255e+11
6.955465  8.297905e+11
6.967864  8.339658e+11
6.980262  8.381529e+11
6.992660  8.423488e+11
7.005059  8.465502e+11
7.017457  8.507737e+11
7.029855  8.549974e+11
7.042254  8.592376e+11
7.054652  8.634810e+11
7.067050  8.677385e+11
7.079449  8.720033e+11
7.091847  8.762847e+11
7.104245  8.805686e+11
7.116644  8.848664e+11
7.129042  8.891758e+11
7.141440  8.934914e+11
7.153839  8.978184e+11
7.166237  9.021557e+11
7.178635  9.065027e+11
7.191034  9.108626e+11
7.203432  9.152304e+11
7.215830  9.196088e+11
7.228229  9.239921e+11
7.240627  9.283895e+11
7.253025  9.327979e+11
7.265424  9.372148e+11
7.277822  9.416437e+11
7.290220  9.460795e+11
7.302619  9.505284e+11
7.315017  9.549856e+11
7.327415  9.594512e+11
7.339814  9.639250e+11
7.352212  9.684154e+11
7.364610  9.729085e+11
7.377009  9.774169e+11
7.389407  9.819348e+11
7.401805  9.864616e+11
7.414204  9.909971e+11
7.426602  9.955406e+11
7.439000  1.000098e+12
7.451399  1.004663e+12
7.463797  1.009235e+12
7.476195  1.013819e+12
7.488594  1.018412e+12
7.500992  1.023016e+12
7.513390  1.027633e+12
7.525789  1.032256e+12
7.538187  1.036888e+12
7.550585  1.041532e+12
7.562984  1.046182e+12
7.575382  1.050845e+12
7.587780  1.055516e+12
7.600179  1.060198e+12
7.612577  1.064888e+12
7.624975  1.069592e+12
7.637374  1.074302e+12
7.649772  1.079019e+12
7.662170  1.083748e+12
7.674569  1.088490e+12
7.686967  1.093236e+12
7.699365  1.097998e+12
7.711764  1.102764e+12
7.724162  1.107536e+12
7.736560  1.112325e+12
7.748959  1.117122e+12
7.761357  1.121922e+12
7.773755  1.126741e+12
7.786154  1.131564e+12
7.798552  1.136396e+12
7.810950  1.141245e+12
7.823349  1.146089e+12
7.835747  1.150951e+12
7.848145  1.155824e+12
7.860544  1.160709e+12
7.872942  1.165592e+12
7.885340  1.170493e+12
7.897739  1.175401e+12
7.910137  1.180319e+12
7.922535  1.185246e+12
7.934934  1.190181e+12
7.947332  1.195127e+12
7.959730  1.200082e+12
7.972129  1.205043e+12
7.984527  1.210017e+12
7.996925  1.215001e+12
8.009324  1.219993e+12
8.021722  1.224999e+12
8.034120  1.230005e+12
8.046519  1.235024e+12
8.058917  1.240046e+12
8.071315  1.245087e+12
8.083714  1.250135e+12
8.096112  1.255185e+12
8.108510  1.260256e+12
8.120909  1.265330e+12
8.133307  1.270408e+12
8.145705  1.275501e+12
8.158104  1.280606e+12
8.170502  1.285718e+12
8.182900  1.290827e+12
8.195299  1.295955e+12
8.207697  1.301095e+12
8.220095  1.306240e+12
8.232494  1.311397e+12
8.244892  1.316563e+12
8.257290  1.321734e+12
8.269689  1.326916e+12
8.282087  1.332107e+12
8.294485  1.337303e+12
8.306884  1.342513e+12
8.319282  1.347730e+12
8.331680  1.352954e+12
8.344079  1.358191e+12
8.356477  1.363435e+12
8.368875  1.368688e+12
8.381274  1.373947e+12
8.393672  1.379212e+12
8.406070  1.384495e+12
8.418469  1.389779e+12
8.430867  1.395084e+12
8.443265  1.400388e+12
8.455664  1.405699e+12
8.468062  1.411021e+12
8.480460  1.416350e+12
8.492859  1.421691e+12
8.505257  1.427047e+12
8.517655  1.432398e+12
8.530054  1.437767e+12
8.542452  1.443144e+12
8.554850  1.448520e+12
8.567249  1.453916e+12
8.579647  1.459309e+12
8.592045  1.464722e+12
8.604444  1.470141e+12
8.616842  1.475563e+12
8.629240  1.480999e+12
8.641639  1.486444e+12
8.654037  1.491891e+12
8.666435  1.497354e+12
8.678834  1.502820e+12
8.691232  1.508301e+12
8.703630  1.513784e+12
8.716029  1.519276e+12
8.728427  1.524782e+12
8.740825  1.530292e+12
8.753224  1.535810e+12
8.765622  1.541337e+12
8.778020  1.546877e+12
8.790419  1.552412e+12
8.802817  1.557971e+12
8.815215  1.563533e+12
8.827614  1.569097e+12
8.840012  1.574675e+12
8.852410  1.580263e+12
8.864809  1.585858e+12
8.877207  1.591457e+12
8.889605  1.597064e+12
8.902004  1.602681e+12
8.914402  1.608322e+12
8.926800  1.613954e+12
8.939199  1.619591e+12
8.951597  1.625246e+12
8.963995  1.630901e+12
8.976394  1.636574e+12
8.988792  1.642243e+12
9.001190  1.647933e+12
9.013589  1.653620e+12
9.025987  1.659324e+12
9.038385  1.665033e+12
9.050784  1.670751e+12
9.063182  1.676475e+12
9.075580  1.682206e+12
9.087979  1.687947e+12
9.100377  1.693696e+12
9.112775  1.699452e+12
9.125174  1.705217e+12
9.137572  1.710988e+12
9.149970  1.716768e+12
9.162369  1.722551e+12
9.174767  1.728356e+12
9.187165  1.734151e+12
9.199564  1.739961e+12
9.211962  1.745786e+12
9.224360  1.751620e+12
9.236759  1.757452e+12
