# RRKM rate for corannulene isomer 
En(eV)     K(E) s-1
1.425808  3.224735e-05
1.438207  1.041771e-04
1.450605  2.105284e-04
1.463003  4.258241e-04
1.475402  8.137633e-04
1.487800  1.441982e-03
1.500198  2.439016e-03
1.512597  3.982111e-03
1.524995  6.309324e-03
1.537393  9.745343e-03
1.549792  1.470211e-02
1.562190  2.173095e-02
1.574588  3.156933e-02
1.586987  4.514612e-02
1.599385  6.362080e-02
1.611783  8.848376e-02
1.624182  1.216093e-01
1.636580  1.653075e-01
1.648978  2.224225e-01
1.661377  2.964462e-01
1.673775  3.916560e-01
1.686173  5.132152e-01
1.698572  6.673351e-01
1.710970  8.614838e-01
1.723368  1.104578e+00
1.735767  1.407192e+00
1.748165  1.781859e+00
1.760563  2.243309e+00
1.772962  2.808860e+00
1.785360  3.498770e+00
1.797758  4.336607e+00
1.810157  5.349764e+00
1.822555  6.569915e+00
1.834953  8.033626e+00
1.847352  9.783009e+00
1.859750  1.186627e+01
1.872148  1.433848e+01
1.884547  1.726273e+01
1.896945  2.071065e+01
1.909343  2.476347e+01
1.921742  2.951332e+01
1.934140  3.506407e+01
1.946538  4.153303e+01
1.958937  4.905196e+01
1.971335  5.776905e+01
1.983733  6.784947e+01
1.996132  7.947953e+01
2.008530  9.286530e+01
2.020928  1.082371e+02
2.033327  1.258514e+02
2.045725  1.459923e+02
2.058123  1.689744e+02
2.070522  1.951478e+02
2.082920  2.248945e+02
2.095318  2.586407e+02
2.107717  2.968538e+02
2.120115  3.400467e+02
2.132513  3.887830e+02
2.144912  4.436826e+02
2.157310  5.054204e+02
2.169708  5.747434e+02
2.182107  6.524512e+02
2.194505  7.394345e+02
2.206903  8.366446e+02
2.219302  9.451339e+02
2.231700  1.066038e+03
2.244098  1.200584e+03
2.256497  1.350128e+03
2.268895  1.516095e+03
2.281293  1.700070e+03
2.293692  1.903745e+03
2.306090  2.128944e+03
2.318488  2.377640e+03
2.330887  2.651974e+03
2.343285  2.954215e+03
2.355683  3.286870e+03
2.368082  3.652530e+03
2.380480  4.054085e+03
2.392878  4.494560e+03
2.405277  4.977239e+03
2.417675  5.505621e+03
2.430073  6.083442e+03
2.442472  6.714751e+03
2.454870  7.403757e+03
2.467268  8.155097e+03
2.479667  8.973635e+03
2.492065  9.864576e+03
2.504463  1.083341e+04
2.516862  1.188609e+04
2.529260  1.302888e+04
2.541658  1.426836e+04
2.554057  1.561168e+04
2.566455  1.706632e+04
2.578853  1.864033e+04
2.591252  2.034216e+04
2.603650  2.218072e+04
2.616048  2.416540e+04
2.628447  2.630636e+04
2.640845  2.861416e+04
2.653243  3.109999e+04
2.665642  3.377578e+04
2.678040  3.665393e+04
2.690438  3.974769e+04
2.702837  4.307070e+04
2.715235  4.663816e+04
2.727633  5.046542e+04
2.740032  5.456834e+04
2.752430  5.896424e+04
2.764828  6.367112e+04
2.777227  6.870787e+04
2.789625  7.409426e+04
2.802023  7.985140e+04
2.814422  8.600106e+04
2.826820  9.256674e+04
2.839218  9.957109e+04
2.851617  1.070411e+05
2.864015  1.150020e+05
2.876413  1.234823e+05
2.888812  1.325101e+05
2.901210  1.421173e+05
2.913608  1.523345e+05
2.926007  1.631956e+05
2.938405  1.747346e+05
2.950803  1.869878e+05
2.963202  1.999919e+05
2.975600  2.137897e+05
2.987998  2.284204e+05
3.000397  2.439264e+05
3.012795  2.603535e+05
3.025193  2.777479e+05
3.037592  2.961593e+05
3.049990  3.156370e+05
3.062388  3.362354e+05
3.074787  3.580073e+05
3.087185  3.810109e+05
3.099583  4.053067e+05
3.111982  4.309542e+05
3.124380  4.580220e+05
3.136778  4.865724e+05
3.149177  5.166752e+05
3.161575  5.484030e+05
3.173973  5.818320e+05
3.186372  6.170374e+05
3.198770  6.540993e+05
3.211168  6.931057e+05
3.223567  7.341371e+05
3.235965  7.772832e+05
3.248363  8.226451e+05
3.260762  8.703088e+05
3.273160  9.203769e+05
3.285558  9.729619e+05
3.297957  1.028145e+06
3.310355  1.086071e+06
3.322753  1.146823e+06
3.335152  1.210540e+06
3.347550  1.277332e+06
3.359948  1.347327e+06
3.372347  1.420662e+06
3.384745  1.497470e+06
3.397143  1.577873e+06
3.409542  1.662035e+06
3.421940  1.750102e+06
3.434338  1.842213e+06
3.446737  1.938542e+06
3.459135  2.039238e+06
3.471533  2.144471e+06
3.483932  2.254419e+06
3.496330  2.369252e+06
3.508728  2.489173e+06
3.521127  2.614341e+06
3.533525  2.744975e+06
3.545923  2.881245e+06
3.558322  3.023422e+06
3.570720  3.171633e+06
3.583118  3.326151e+06
3.595517  3.487192e+06
3.607915  3.654982e+06
3.620313  3.829769e+06
3.632712  4.011777e+06
3.645110  4.201258e+06
3.657508  4.398504e+06
3.669907  4.603739e+06
3.682305  4.817266e+06
3.694703  5.039323e+06
3.707102  5.270255e+06
