# RRKM rate for corannulene isomer 
En(eV)     K(E) s-1
0.681908  1.016552e+02
0.694307  3.023551e+02
0.706705  3.943091e+02
0.719103  6.310199e+02
0.731502  1.290809e+03
0.743900  1.959646e+03
0.756298  2.732206e+03
0.768697  4.154386e+03
0.781095  5.975794e+03
0.793493  8.149707e+03
0.805892  1.116576e+04
0.818290  1.498519e+04
0.830688  1.971421e+04
0.843087  2.575418e+04
0.855485  3.307109e+04
0.867883  4.197818e+04
0.880282  5.299061e+04
0.892680  6.607992e+04
0.905078  8.161615e+04
0.917477  1.002558e+05
0.929875  1.221419e+05
0.942273  1.477077e+05
0.954672  1.776526e+05
0.967070  2.123230e+05
0.979468  2.523180e+05
0.991867  2.983978e+05
1.004265  3.510606e+05
1.016663  4.110942e+05
1.029062  4.793936e+05
1.041460  5.566266e+05
1.053858  6.437455e+05
1.066257  7.418024e+05
1.078655  8.516852e+05
1.091053  9.745243e+05
1.103452  1.111534e+06
1.115850  1.263836e+06
1.128248  1.432770e+06
1.140647  1.619733e+06
1.153045  1.826099e+06
1.165443  2.053421e+06
1.177842  2.303321e+06
1.190240  2.577429e+06
1.202638  2.877511e+06
1.215037  3.205446e+06
1.227435  3.563120e+06
1.239833  3.952604e+06
1.252232  4.375968e+06
1.264630  4.835418e+06
1.277028  5.333266e+06
1.289427  5.871877e+06
1.301825  6.453768e+06
1.314223  7.081499e+06
1.326622  7.757721e+06
1.339020  8.485311e+06
1.351418  9.267059e+06
1.363817  1.010602e+07
1.376215  1.100524e+07
1.388613  1.196791e+07
1.401012  1.299742e+07
1.413410  1.409711e+07
1.425808  1.527057e+07
1.438207  1.652142e+07
1.450605  1.785327e+07
1.463003  1.927024e+07
1.475402  2.077620e+07
1.487800  2.237510e+07
1.500198  2.407136e+07
1.512597  2.586907e+07
1.524995  2.777293e+07
1.537393  2.978734e+07
1.549792  3.191703e+07
1.562190  3.416677e+07
1.574588  3.654171e+07
1.586987  3.904620e+07
1.599385  4.168613e+07
1.611783  4.446674e+07
1.624182  4.739298e+07
1.636580  5.047066e+07
1.648978  5.370540e+07
