# RRKM rate for corannulene isomer 
En(eV)     K(E) s-1
4.636977  8.067555e+06
4.649375  8.361311e+06
4.661773  8.664352e+06
4.674172  8.976854e+06
4.686570  9.299210e+06
4.698968  9.631509e+06
4.711367  9.974090e+06
4.723765  1.032726e+07
4.736163  1.069123e+07
4.748562  1.106628e+07
4.760960  1.145270e+07
4.773358  1.185082e+07
4.785757  1.226093e+07
4.798155  1.268322e+07
4.810553  1.311811e+07
4.822952  1.356590e+07
4.835350  1.402687e+07
4.847748  1.450141e+07
4.860147  1.498980e+07
4.872545  1.549237e+07
4.884943  1.600952e+07
4.897342  1.654156e+07
4.909740  1.708882e+07
4.922138  1.765177e+07
4.934537  1.823065e+07
4.946935  1.882582e+07
4.959333  1.943788e+07
4.971732  2.006687e+07
4.984130  2.071371e+07
4.996528  2.137835e+07
5.008927  2.206136e+07
5.021325  2.276324e+07
5.033723  2.348424e+07
5.046122  2.422498e+07
5.058520  2.498579e+07
5.070918  2.576716e+07
5.083317  2.656951e+07
5.095715  2.739343e+07
5.108113  2.823923e+07
5.120512  2.910758e+07
5.132910  2.999885e+07
5.145308  3.091361e+07
5.157707  3.185222e+07
5.170105  3.281541e+07
5.182503  3.380367e+07
5.194902  3.481743e+07
5.207300  3.585703e+07
5.219698  3.692370e+07
5.232097  3.801754e+07
5.244495  3.913887e+07
5.256893  4.028888e+07
5.269292  4.146763e+07
5.281690  4.267601e+07
5.294088  4.391476e+07
5.306487  4.518432e+07
5.318885  4.648507e+07
5.331283  4.781812e+07
5.343682  4.918385e+07
5.356080  5.058307e+07
5.368478  5.201624e+07
5.380877  5.348432e+07
5.393275  5.498768e+07
5.405673  5.652716e+07
5.418072  5.810401e+07
5.430470  5.971784e+07
5.442868  6.137053e+07
5.455267  6.306195e+07
5.467665  6.479337e+07
5.480063  6.656565e+07
5.492462  6.837908e+07
5.504860  7.023496e+07
5.517258  7.213343e+07
5.529657  7.407572e+07
5.542055  7.606312e+07
5.554453  7.809594e+07
5.566852  8.017486e+07
5.579250  8.230105e+07
5.591648  8.447540e+07
5.604047  8.669885e+07
5.616445  8.897265e+07
5.628843  9.129664e+07
5.641242  9.367254e+07
5.653640  9.610079e+07
5.666038  9.858331e+07
5.678437  1.011200e+08
5.690835  1.037122e+08
5.703233  1.063617e+08
5.715632  1.090683e+08
5.728030  1.118333e+08
5.740428  1.146584e+08
5.752827  1.175447e+08
5.765225  1.204912e+08
5.777623  1.235021e+08
5.790022  1.265766e+08
5.802420  1.297158e+08
5.814818  1.329212e+08
5.827217  1.361935e+08
5.839615  1.395348e+08
5.852013  1.429458e+08
5.864412  1.464275e+08
5.876810  1.499819e+08
5.889208  1.536087e+08
5.901607  1.573101e+08
5.914005  1.610873e+08
