# RRKM rate for corannulene isomer 
En(eV)     K(E) s-1
0.880282  1.128444e+00
0.892680  3.459546e+00
0.905078  4.647656e+00
0.917477  7.657559e+00
0.929875  1.611838e+01
0.942273  2.516615e+01
0.954672  3.606712e+01
0.967070  5.634408e+01
0.979468  8.322832e+01
0.991867  1.165063e+02
1.004265  1.637695e+02
1.016663  2.253994e+02
1.029062  3.039708e+02
1.041460  4.068975e+02
1.053858  5.351737e+02
1.066257  6.955192e+02
1.078655  8.985904e+02
1.091053  1.146437e+03
1.103452  1.448170e+03
1.115850  1.818713e+03
1.128248  2.264562e+03
1.140647  2.797982e+03
1.153045  3.437154e+03
1.165443  4.194421e+03
1.177842  5.087901e+03
1.190240  6.140096e+03
1.202638  7.369280e+03
1.215037  8.800836e+03
1.227435  1.046397e+04
1.239833  1.238438e+04
1.252232  1.459539e+04
1.264630  1.713449e+04
1.277028  2.003714e+04
1.289427  2.334620e+04
1.301825  2.710879e+04
1.314223  3.137213e+04
1.326622  3.619029e+04
1.339020  4.162269e+04
1.351418  4.772933e+04
1.363817  5.457826e+04
1.376215  6.224281e+04
1.388613  7.079863e+04
1.401012  8.032900e+04
1.413410  9.092394e+04
1.425808  1.026762e+05
1.438207  1.156889e+05
1.450605  1.300683e+05
1.463003  1.459296e+05
1.475402  1.633954e+05
1.487800  1.825930e+05
1.500198  2.036614e+05
1.512597  2.267433e+05
1.524995  2.519950e+05
1.537393  2.795761e+05
1.549792  3.096588e+05
1.562190  3.424252e+05
1.574588  3.780621e+05
1.586987  4.167674e+05
1.599385  4.587566e+05
1.611783  5.042498e+05
1.624182  5.534754e+05
1.636580  6.066779e+05
1.648978  6.641123e+05
1.661377  7.260456e+05
1.673775  7.927534e+05
1.686173  8.645280e+05
1.698572  9.416753e+05
1.710970  1.024510e+06
1.723368  1.113369e+06
1.735767  1.208587e+06
1.748165  1.310529e+06
1.760563  1.419571e+06
1.772962  1.536099e+06
1.785360  1.660512e+06
1.797758  1.793242e+06
1.810157  1.934723e+06
1.822555  2.085400e+06
1.834953  2.245743e+06
1.847352  2.416237e+06
1.859750  2.597402e+06
1.872148  2.789714e+06
1.884547  2.993769e+06
1.896945  3.210109e+06
1.909343  3.439286e+06
1.921742  3.681933e+06
1.934140  3.938629e+06
1.946538  4.210026e+06
1.958937  4.496783e+06
1.971335  4.799560e+06
1.983733  5.119092e+06
1.996132  5.456055e+06
2.008530  5.811167e+06
2.020928  6.185266e+06
2.033327  6.579072e+06
2.045725  6.993434e+06
2.058123  7.429163e+06
2.070522  7.887112e+06
2.082920  8.368136e+06
2.095318  8.873158e+06
2.107717  9.403072e+06
2.120115  9.958917e+06
2.132513  1.054156e+07
2.144912  1.115199e+07
2.157310  1.179132e+07
2.169708  1.246056e+07
2.182107  1.316072e+07
2.194505  1.389308e+07
2.206903  1.465850e+07
2.219302  1.545833e+07
2.231700  1.629364e+07
2.244098  1.716580e+07
2.256497  1.807589e+07
2.268895  1.902520e+07
2.281293  2.001500e+07
2.293692  2.104674e+07
2.306090  2.212162e+07
2.318488  2.324112e+07
2.330887  2.440657e+07
2.343285  2.561931e+07
2.355683  2.688119e+07
2.368082  2.819333e+07
2.380480  2.955736e+07
2.392878  3.097468e+07
2.405277  3.244723e+07
2.417675  3.397637e+07
2.430073  3.556370e+07
2.442472  3.721123e+07
2.454870  3.892029e+07
2.467268  4.069275e+07
2.479667  4.253043e+07
2.492065  4.443525e+07
2.504463  4.640877e+07
2.516862  4.845285e+07
2.529260  5.056986e+07
2.541658  5.276096e+07
2.554057  5.502877e+07
2.566455  5.737509e+07
2.578853  5.980198e+07
2.591252  6.231154e+07
2.603650  6.490554e+07
2.616048  6.758664e+07
2.628447  7.035646e+07
2.640845  7.321774e+07
2.653243  7.617220e+07
2.665642  7.922227e+07
2.678040  8.237028e+07
2.690438  8.561912e+07
2.702837  8.896996e+07
2.715235  9.242601e+07
2.727633  9.599012e+07
2.740032  9.966414e+07
2.752430  1.034502e+08
2.764828  1.073516e+08
2.777227  1.113705e+08
2.789625  1.155092e+08
2.802023  1.197715e+08
2.814422  1.241595e+08
2.826820  1.286751e+08
2.839218  1.333224e+08
2.851617  1.381029e+08
2.864015  1.430204e+08
2.876413  1.480773e+08
2.888812  1.532760e+08
2.901210  1.586206e+08
2.913608  1.641140e+08
2.926007  1.697588e+08
2.938405  1.755569e+08
2.950803  1.815127e+08
2.963202  1.876284e+08
2.975600  1.939094e+08
2.987998  2.003566e+08
3.000397  2.069731e+08
3.012795  2.137633e+08
3.025193  2.207304e+08
3.037592  2.278769e+08
3.049990  2.352072e+08
3.062388  2.427240e+08
3.074787  2.504308e+08
3.087185  2.583300e+08
3.099583  2.664286e+08
3.111982  2.747261e+08
3.124380  2.832286e+08
3.136778  2.919383e+08
3.149177  3.008600e+08
3.161575  3.099962e+08
3.173973  3.193512e+08
3.186372  3.289291e+08
3.198770  3.387333e+08
3.211168  3.487679e+08
3.223567  3.590361e+08
3.235965  3.695419e+08
3.248363  3.802902e+08
3.260762  3.912841e+08
3.273160  4.025277e+08
3.285558  4.140250e+08
3.297957  4.257774e+08
3.310355  4.377972e+08
3.322753  4.500791e+08
3.335152  4.626350e+08
3.347550  4.754621e+08
3.359948  4.885695e+08
3.372347  5.019597e+08
3.384745  5.156370e+08
3.397143  5.296045e+08
3.409542  5.438691e+08
3.421940  5.584343e+08
3.434338  5.733047e+08
3.446737  5.884858e+08
3.459135  6.039774e+08
3.471533  6.197899e+08
3.483932  6.359231e+08
3.496330  6.523854e+08
3.508728  6.691808e+08
3.521127  6.863114e+08
3.533525  7.037845e+08
3.545923  7.216018e+08
3.558322  7.397765e+08
3.570720  7.583004e+08
3.583118  7.771879e+08
3.595517  7.964414e+08
3.607915  8.160644e+08
3.620313  8.360647e+08
3.632712  8.564456e+08
3.645110  8.772066e+08
3.657508  8.983627e+08
3.669907  9.199139e+08
3.682305  9.418665e+08
3.694703  9.642210e+08
3.707102  9.869902e+08
3.719500  1.010171e+09
3.731898  1.033779e+09
3.744297  1.057811e+09
3.756695  1.082279e+09
3.769093  1.107179e+09
3.781492  1.132521e+09
3.793890  1.158314e+09
3.806288  1.184562e+09
3.818687  1.211262e+09
3.831085  1.238433e+09
3.843483  1.266067e+09
3.855882  1.294179e+09
3.868280  1.322772e+09
3.880678  1.351851e+09
3.893077  1.381422e+09
3.905475  1.411492e+09
3.917873  1.442064e+09
3.930272  1.473147e+09
3.942670  1.504740e+09
3.955068  1.536854e+09
3.967467  1.569497e+09
3.979865  1.602670e+09
3.992263  1.636388e+09
4.004662  1.670632e+09
4.017060  1.705444e+09
4.029458  1.740800e+09
4.041857  1.776722e+09
4.054255  1.813209e+09
