# Grant et al. 2023 (https://ui.adsabs.harvard.edu/abs/2023ApJ...947L...6G/abstract)
#wavelength [micron],flux [mJy] 
4.900400095357327,85.72259546046597
4.901200095337117,83.21781731228471
4.902000095316907,83.98077029263015
4.902800095296698,83.3528079105963
4.903600095276488,83.4080854310484
4.904400095256278,84.07000309928962
4.905200095236069,84.43333151190825
4.906000095215859,85.05803726769582
4.906800095195649,85.1515916728162
4.9076000951754395,85.3640300464783
4.90840009515523,89.89046827620312
4.90920009513502,96.50968483924233
4.91000009511481,90.3753729732995
4.910800095094601,88.91637189745742
4.911600095074391,83.92216112393602
4.912400095054181,81.37213851313147
4.913200095033972,81.43942816879714
4.914000095013762,81.36081889267764
4.914800094993552,82.04923583589063
4.9156000949733425,84.14892230090292
4.916400094953133,86.25405191576645
4.917200094932923,88.06932279309585
4.918000094912713,86.14091395211041
4.918800094892504,84.27019808218903
4.919600094872294,87.81423227815436
4.920400094852084,94.93171922655532
4.921200094831875,97.594480567872
4.922000094811665,90.49702206551929
4.922800094791455,84.46745583133543
4.9236000947712455,82.59206879311337
4.924400094751036,79.71689316266729
4.925200094730826,78.58426458546803
4.926000094710616,82.3232865342597
4.926800094690407,85.32179942836039
4.927600094670197,85.9939495015033
4.928400094649987,84.48404805488215
4.929200094629778,83.16318324808526
4.930000094609568,83.34652185452686
4.930800094589358,87.73938099176596
4.9316000945691485,96.15142877970624
4.932400094548939,97.32465302802862
4.933200094528729,91.65189210245546
4.934000094508519,84.83190820910099
4.93480009448831,81.64752547740963
4.9356000944681,81.58030298584328
4.93640009444789,82.08599279767411
4.937200094427681,84.63221604983995
4.938000094407471,84.76489684276201
4.938800094387261,87.2840220537947
4.9396000943670515,85.6784942987178
4.940400094346842,84.35209036841881
4.941200094326632,83.12402623610474
4.942000094306422,85.27066112522827
4.942800094286213,92.25587880366857
4.943600094266003,98.32078580554946
4.944400094245793,97.07237110257968
4.945200094225584,87.08171286499466
4.946000094205374,83.4434373926612
4.946800094185164,81.55587086212839
4.9476000941649545,81.4657536221307
4.948400094144745,83.33223699740911
4.949200094124535,85.43741468432958
4.950000094104325,85.88388487093523
4.950800094084116,83.44046714150019
4.951600094063906,82.24686358573176
4.952400094043696,82.34222351932212
4.953200094023487,83.37502723350168
4.954000094003277,88.23956466794601
4.954800093983067,93.84932630579792
4.9556000939628575,95.96139934186168
4.956400093942648,91.95529200664755
4.957200093922438,84.28035123205714
4.958000093902228,84.13040654996077
4.958800093882019,85.9987857454887
4.959600093861809,86.55168368903048
4.960400093841599,86.70860176665461
4.96120009382139,84.4274628314743
4.96200009380118,82.75255259391038
4.96280009378097,81.30264791888801
4.9636000937607605,81.95146471260803
4.964400093740551,83.72774993530903
4.965200093720341,84.7992944622797
4.966000093700131,89.94659592996851
